ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,adjust
603986.SH,20250812,118.138479,121.323854,117.429508,120.295347,117.779001,2.516347,2.136499,252756.180000,3025712.891000,5.647900,qfq
603986.SH,20250813,120.315318,122.821679,119.766116,121.283912,120.295347,0.988565,0.821781,240986.540000,2925464.097000,5.647900,qfq
603986.SH,20250814,121.523564,125.308069,120.375231,120.834564,121.283912,-0.449348,-0.370492,314003.250000,3865198.490000,5.647900,qfq
603986.SH,20250815,119.836014,123.320954,119.836014,122.721824,120.834564,1.887260,1.561854,211500.220000,2590294.402000,5.647900,qfq
603986.SH,20250818,123.151201,127.794459,121.333839,125.517765,122.721824,2.795941,2.278275,328498.520000,4106567.032000,5.647900,qfq
603986.SH,20250819,125.298084,128.693155,122.671897,123.081302,125.517765,-2.436463,-1.941130,323175.200000,4046363.006000,5.647900,qfq
603986.SH,20250820,122.821679,127.065518,121.833115,126.825866,123.081302,3.744563,3.042350,359897.590000,4494071.401000,5.647900,qfq
603986.SH,20250821,131.898501,139.507454,131.898501,136.961151,126.825866,10.135285,7.991497,858971.490000,11832481.427000,5.647900,qfq
603986.SH,20250822,134.924108,150.661260,134.884166,150.661260,136.961151,13.700109,10.002916,780790.540000,11210984.976000,5.647900,qfq
603986.SH,20250825,158.769488,163.262964,152.658360,157.571228,150.661260,6.909968,4.586426,836197.600000,13172131.297000,5.647900,qfq
603986.SH,20250826,157.571228,157.571228,152.398737,154.176157,157.571228,-3.395071,-2.154626,382253.320000,5917649.650000,5.647900,qfq
603986.SH,20250827,155.644026,168.255715,151.959375,158.400024,154.176157,4.223868,2.739637,623810.580000,10014123.480000,5.647900,qfq
603986.SH,20250828,160.766588,165.559629,158.779473,164.211587,158.400024,5.811562,3.668915,494328.310000,8027959.133000,5.647900,qfq
603986.SH,20250829,161.565428,161.765139,156.173257,158.749517,164.211587,-5.462070,-3.326239,398005.860000,6325048.099000,5.647900,qfq
603986.SH,20250901,163.872080,174.626466,156.772387,174.626466,158.749517,15.876949,10.001258,612797.120000,10223340.506000,5.647900,qfq
